紅魁,常演小鬼、小妖等。,1661303
狐狸公,飾演有點道行的妖怪。,1661801
魁星,魁星是古時候想要科舉高中的學子們一定要奉祀的對象，也可以扮演主神的部下。,166a004
雷公頭,布袋戲中的雷公都長有一張鳥嘴，也可以扮演類似的角色。,1661706
怪頭,演妖怪的偶一般直接記為怪頭,1661206
紅魁(星),精怪角色，例如千里眼、順風耳。,無編號
海潮頭,鋒劍春秋一劇中的主要反派角色。,1662101
沙悟淨(外江臉),手持月牙叉的沙悟淨，僧人造型，是個憨厚而任勞任怨的角色，蓄著短鬚，頭戴金箍，以示受到唐三藏的領導約束。,偶0003
猴頭,動物偶也是布袋戲不可或缺的道具，可飾演孫悟空。配合飛禽、走獸、水族所研發的操偶動作，更是增添布袋戲表演的可看性。布袋戲所使用的動物偶約略可分為三大類：飛禽、走獸、水族。禽類：有鶴、鷺鷥、鳳、鷹、雞、不祥鳥、鸚鵡。走獸類：龍、虎、獅、豹、馬、牛、象、蛇、四不相、麒麟、狗、蜈蚣。水族類：魚、蝦、龜、蟹、蛤、螺。龍、虎、馬、鶴……等是最為常用的動物偶。,1670108
牛頭,動物偶也是布袋戲不可或缺的道具，可飾演牛魔王。配合飛禽、走獸、水族所研發的操偶動作，更是增添布袋戲表演的可看性。布袋戲所使用的動物偶約略可分為三大類：飛禽、走獸、水族。禽類：有鶴、鷺鷥、鳳、鷹、雞、不祥鳥、鸚鵡。走獸類：龍、虎、獅、豹、馬、牛、象、蛇、四不相、麒麟、狗、蜈蚣。水族類：魚、蝦、龜、蟹、蛤、螺。龍、虎、馬、鶴……等是最為常用的動物偶。,1670301
牛頭,動物偶也是布袋戲不可或缺的道具，配合飛禽、走獸、水族所研發的操偶動作，更是增添布袋戲表演的可看性。布袋戲所使用的動物偶約略可分為三大類：飛禽、走獸、水族。禽類：有鶴、鷺鷥、鳳、鷹、雞、不祥鳥、鸚鵡。走獸類：龍、虎、獅、豹、馬、牛、象、蛇、四不相、麒麟、狗、蜈蚣。水族類：魚、蝦、龜、蟹、蛤、螺。龍、虎、馬、鶴……等是最為常用的動物偶。,1670302
豬頭,動物偶也是布袋戲不可或缺的道具，可扮演豬八戒。配合飛禽、走獸、水族所研發的操偶動作，更是增添布袋戲表演的可看性。布袋戲所使用的動物偶約略可分為三大類：飛禽、走獸、水族。禽類：有鶴、鷺鷥、鳳、鷹、雞、不祥鳥、鸚鵡。走獸類：龍、虎、獅、豹、馬、牛、象、蛇、四不相、麒麟、狗、蜈蚣。水族類：魚、蝦、龜、蟹、蛤、螺。龍、虎、馬、鶴……等是最為常用的動物偶。,偶0036
范無救(八爺),八爺是城隍爺的部屬，主要是負責押解惡人到城隍爺殿受審，黑臉長鬚，雙眼外凸身材矮胖扮相嚇人，常與七爺一起出現。,1680701
謝必安(七爺),主要是負責押解惡人到城隍爺殿受審，七爺，滿臉長鬚舌頭外吐身材瘦長頭戴高帽，上面寫著「一見大吉」。常與八爺一起出現。,1680801
